time,streamflow_cms
2004-02-18,5.6697493
2004-02-19,5.596217
2004-02-20,5.5237675
2004-02-21,5.4523897
2004-02-22,5.382067
2004-02-23,5.3127894
2004-02-24,5.244543
2004-02-25,5.177303
2004-02-26,5.1110635
2004-02-27,5.045803
2004-02-28,4.9814963
2004-02-29,4.9181256
2004-03-01,4.8556733
2004-03-02,4.7941294
2004-03-03,4.733468
2004-03-04,4.6736794
2004-03-05,4.614735
2004-03-06,4.5566244
2004-03-07,4.4993234
2004-03-08,4.4428263
2004-03-09,4.3871055
2004-03-10,4.332134
2004-03-11,4.2779064
2004-03-12,4.224402
2004-03-13,4.171602
2004-03-14,4.119491
2004-03-15,4.0680537
2004-03-16,4.0172863
2004-03-17,3.967165
2004-03-18,3.9176886
2004-03-19,3.8688595
2004-03-20,3.8206522
2004-03-21,3.7730742
2004-03-22,3.7261095
2004-03-23,3.6797626
2004-03-24,3.634019
2004-03-25,3.588873
2004-03-26,3.5443206
2004-03-27,3.5003545
2004-03-28,3.456973
2004-03-29,3.4141524
2004-03-30,3.374738
2004-03-31,3.4491665
2004-04-01,3.3456473
2004-04-02,3.2585092
2004-04-03,3.2094479
2004-04-04,3.1691163
2004-04-05,3.1301403
2004-04-06,3.091786
2004-04-07,3.054112
2004-04-08,3.0175111
2004-04-09,2.9803717
2004-04-10,2.943654
2004-04-11,2.908008
2004-04-12,2.907134
2004-04-13,3.479499
2004-04-14,5.167456
2004-04-15,4.709268
2004-04-16,3.6533182
2004-04-17,3.025044
2004-04-18,2.7583098
2004-04-19,2.6579766
2004-04-20,2.6116407
2004-04-21,2.5783513
2004-04-22,2.5477552
2004-04-23,2.5203898
2004-04-24,2.5749443
2004-04-25,2.5030572
2004-04-26,2.5319831
2004-04-27,5.821216
2004-04-28,14.267945
2004-04-29,8.597527
2004-04-30,4.594682
2004-05-01,5.3881545
2004-05-02,13.638675
2004-05-03,34.834476
2004-05-04,39.025288
2004-05-05,42.975224
2004-05-06,28.791252
2004-05-07,15.697783
2004-05-08,12.209857
2004-05-09,22.237381
2004-05-10,22.25236
2004-05-11,19.285196
2004-05-12,11.749787
2004-05-13,6.0846744
2004-05-14,3.4756534
2004-05-15,2.4922562
2004-05-16,2.8907552
2004-05-17,9.503165
2004-05-18,21.143726
2004-05-19,31.618382
2004-05-20,42.57069
2004-05-21,46.467182
2004-05-22,38.332123
2004-05-23,23.6786
2004-05-24,13.103536
2004-05-25,9.441305
2004-05-26,20.236217
2004-05-27,33.81253
2004-05-28,42.610497
2004-05-29,47.731274
2004-05-30,51.39287
2004-05-31,49.897545
2004-06-01,47.47726
2004-06-02,48.66508
2004-06-03,56.20026
2004-06-04,73.1583
2004-06-05,93.154884
2004-06-06,108.71058
2004-06-07,150.39404
2004-06-08,139.32956
2004-06-09,109.54858
2004-06-10,99.691605
2004-06-11,105.68039
2004-06-12,114.2429
2004-06-13,124.18434
2004-06-14,118.219376
2004-06-15,99.206985
2004-06-16,74.35447
2004-06-17,62.725872
2004-06-18,61.78013
2004-06-19,65.9692
2004-06-20,74.05821
2004-06-21,82.41813
2004-06-22,92.99442
2004-06-23,96.56999
2004-06-24,96.898834
2004-06-25,99.02085
2004-06-26,105.65168
2004-06-27,100.02858
2004-06-28,92.8661
2004-06-29,79.71248
2004-06-30,83.516304
2004-07-01,106.4207
2004-07-02,133.40488
2004-07-03,129.65817
2004-07-04,155.56125
2004-07-05,150.92009
2004-07-06,117.38762
2004-07-07,106.31588
2004-07-08,135.20184
2004-07-09,125.145256
2004-07-10,107.209755
2004-07-11,104.90494
2004-07-12,114.104454
2004-07-13,109.10331
2004-07-14,99.80822
2004-07-15,93.846146
2004-07-16,91.40587
2004-07-17,90.531944
2004-07-18,89.97362
2004-07-19,89.46763
2004-07-20,90.25912
2004-07-21,90.60379
2004-07-22,90.27501
2004-07-23,91.6991
2004-07-24,87.97847
2004-07-25,85.03949
2004-07-26,83.721565
2004-07-27,84.44528
2004-07-28,82.90244
2004-07-29,80.499626
2004-07-30,78.584076
2004-07-31,77.0696
2004-08-01,77.06086
2004-08-02,83.554405
2004-08-03,78.52146
2004-08-04,75.98782
2004-08-05,74.67886
2004-08-06,74.28668
2004-08-07,85.590805
2004-08-08,104.170135
2004-08-09,93.83768
2004-08-10,79.16745
2004-08-11,69.00651
2004-08-12,63.79424
2004-08-13,61.203186
2004-08-14,59.670918
2004-08-15,58.671154
2004-08-16,61.616238
2004-08-17,69.141426
2004-08-18,65.39349
2004-08-19,59.44559
2004-08-20,64.23468
2004-08-21,58.681213
2004-08-22,95.98804
2004-08-23,114.995384
2004-08-24,104.358185
2004-08-25,97.04872
2004-08-26,100.14759
2004-08-27,94.08817
2004-08-28,73.10941
2004-08-29,59.96003
2004-08-30,55.27764
2004-08-31,54.16377
2004-09-01,51.98497
2004-09-02,57.785664
2004-09-03,91.39018
2004-09-04,98.283195
2004-09-05,77.67119
2004-09-06,60.369503
2004-09-07,50.31288
2004-09-08,45.44197
2004-09-09,51.946518
2004-09-10,75.57405
2004-09-11,75.00616
2004-09-12,69.21792
2004-09-13,59.41519
2004-09-14,50.068417
2004-09-15,49.2806
2004-09-16,52.384968
2004-09-17,54.33353
2004-09-18,57.645958
2004-09-19,62.938244
2004-09-20,56.48159
2004-09-21,49.55856
2004-09-22,44.507805
2004-09-23,42.36912
2004-09-24,41.488857
2004-09-25,40.901375
2004-09-26,40.441425
2004-09-27,40.142067
2004-09-28,39.886295
2004-09-29,46.823933
2004-09-30,53.66781
2004-10-01,49.27969
2004-10-02,43.569195
2004-10-03,40.228916
2004-10-04,38.675343
2004-10-05,37.972397
2004-10-06,37.68772
2004-10-07,38.60016
2004-10-08,39.047253
2004-10-09,41.066097
2004-10-10,47.324394
2004-10-11,44.363445
2004-10-12,40.009235
2004-10-13,37.19165
2004-10-14,41.623966
2004-10-15,75.09992
2004-10-16,69.97686
2004-10-17,53.746857
2004-10-18,41.769253
2004-10-19,35.900833
2004-10-20,33.613644
2004-10-21,32.758213
2004-10-22,32.32749
2004-10-23,31.995817
2004-10-24,31.683615
2004-10-25,31.375753
2004-10-26,31.06977
2004-10-27,30.764866
2004-10-28,30.460194
2004-10-29,30.155045
